,quarter,expectation,variance,sharpe_ratio
122,2019-Q2,0.022,0.0023499348170262662,0.4538316424605001
123,2019-Q2,0.023,0.0022209777892031575,0.4880403481977916
124,2019-Q2,0.024,0.0021160960214622617,0.521727292899517
125,2019-Q2,0.025,0.002030085448551611,0.554859274332842
126,2019-Q2,0.026,0.001961410098269499,0.5870689950171577
127,2019-Q2,0.027,0.0019040059161925496,0.6187705241592945
128,2019-Q2,0.028,0.0018524763543400075,0.650551518227994
129,2019-Q2,0.029,0.0018066984415700965,0.6822682523298323
130,2019-Q2,0.03,0.0017667729761642447,0.7137249532030017
131,2019-Q2,0.031,0.001732115655162749,0.744857594861614
132,2019-Q2,0.032,0.0017026988516582722,0.7754986689826361
133,2019-Q2,0.033,0.0016781315851202194,0.8055656404044149
134,2019-Q2,0.034,0.0016585047887190132,0.834873261517591
135,2019-Q2,0.035,0.0016435929736812955,0.8633182194553012
136,2019-Q2,0.036,0.0016333694265656075,0.8907591448520236
137,2019-Q2,0.037,0.0016280116098872453,0.917007684869255
138,2019-Q2,0.038,0.001627650138355977,0.9418962479590245
139,2019-Q2,0.039,0.001632290904809772,0.9653078249364028
140,2019-Q2,0.04,0.0016418252873056896,0.9871803933712523
141,2019-Q2,0.041,0.0016561486259160426,1.00747482433229
142,2019-Q2,0.042,0.0016757575589054143,1.0259913442296185
143,2019-Q2,0.043,0.0017005215367985375,1.042743250223
144,2019-Q2,0.044,0.0017312391694341992,1.0574848196786564
145,2019-Q2,0.045,0.0017688988808419691,1.069943907699151
146,2019-Q2,0.046,0.001813901731367865,1.0800676391928323
147,2019-Q2,0.047,0.0018663333688169375,1.0879357483487535
148,2019-Q2,0.048,0.0019262110922997294,1.0936775505853003
149,2019-Q2,0.049,0.0019935410181673636,1.097446839332272
150,2019-Q2,0.05,0.0020679502018734596,1.0995119812203165
151,2019-Q2,0.051,0.0021492653381827813,1.1000822535307473
152,2019-Q2,0.052,0.0022382910105681183,1.0991198933553932
153,2019-Q2,0.053,0.0023360699856543403,1.0965613762443174
154,2019-Q2,0.054,0.002442866216340828,1.0925565325655175
155,2019-Q2,0.055,0.0025586927455321508,1.0873105966865697
156,2019-Q2,0.056,0.002683268940708898,1.0810752510025616
157,2019-Q2,0.057,0.0028163234274846943,1.07407248633161
158,2019-Q2,0.058,0.0029578678161473657,1.066445368797158
159,2019-Q2,0.059,0.0031078440968263696,1.058333149249621
160,2019-Q2,0.06,0.003266018406781874,1.0498854967673117
161,2019-Q2,0.061,0.0034325657866394045,1.0411670136419708
162,2019-Q2,0.062,0.0036080347710885337,1.0321821215577074
163,2019-Q2,0.063,0.0037924464156392935,1.0230122232632168
164,2019-Q2,0.064,0.003985802187351229,1.0137295433088729
165,2019-Q2,0.065,0.004188154531176654,1.0043891391386368
166,2019-Q2,0.066,0.0043997217754475,0.995018896545675
167,2019-Q2,0.067,0.004621067374220487,0.9856067121633455
168,2019-Q2,0.068,0.004852589652886888,0.9761625199744967
